Country,Oil production April 2022 (bbl/day)[1]
United States,11884154
Saudi Arabia (OPEC),10644394
Russia,10278370
Canada,4543800
Iraq (OPEC),4470506
China,4089997
United Arab Emirates (OPEC),3467870
Iran (OPEC),3293401
Brazil,3021505
Kuwait (OPEC),2825724
Kazakhstan,1726514
Mexico,1715914
Norway,1704297
Qatar,1321192
Nigeria (OPEC),1316415
Algeria (OPEC),1211863
Angola (OPEC),1165993
Oman,1063251
Libya (OPEC),1057890
Colombia,751876
United Kingdom,744965
Venezuela (OPEC),703658
Azerbaijan,666869
Indonesia,610532
India,607890
Argentina,582289
Egypt,567652
Malaysia,502082
Ecuador,479518
Australia,310919
Guyana,275545
Republic of the Congo (OPEC),272928
Gabon (OPEC),195808
Turkmenistan,195109
Bahrain,188469
Ghana,179890
Vietnam,179249
South Sudan,155110
Thailand,143083
Equatorial Guinea (OPEC),118384
Syria,85742
Italy,83151
Brunei,83759
Chad,81329
Pakistan,83000
Turkey,69012
Sudan,64880
Denmark,64791
Romania,61281
Cameroon,59743
Trinidad and Tobago,58436
Yemen,48565
Peru,40538
Papua New Guinea,35917
Uzbekistan,34379
Tunisia,33320
Germany,33242
Cuba,32079
Belarus,31756
C̫te d'Ivoire,30298
Netherlands,29451
Bolivia,28460
Democratic Republic of the Congo,21000
Hungary,17873
Poland,17151
Mongolia,15888
Albania,15003
Serbia,14170
East Timor,14000
Suriname,14000
France,11969
Croatia,10977
Austria,9953
Niger,8000
Myanmar,7400
Ukraine,6672
New Zealand,6551
Guatemala,6188
Japan,3243
Bangladesh,3000
Chile,2000
Czech Republic,1687
Greece,1497
Belize,1106
Barbados,1000
Bulgaria,1000
South Africa,950
Philippines,925
Lithuania,700
Kyrgyzstan,658
Tajikistan,316
Georgia,276
Taiwan,196
Slovakia,43
Morocco,25
Jordan,20
Spain,19
World,80618895
